ts_code,trade_date,close,turnover_rate,turnover_rate_f,volume_ratio,pe,pe_ttm,pb,total_mv,circ_mv
600028.SH,20260529,4.85,0.349,2.3688,1.15,18.4378,16.4971,0.704,58648874.3977,45954950.5569
600028.SH,20260528,4.81,0.2966,2.0135,1.0,18.2858,16.3611,0.6981,58165172.3408,45575940.6554
600028.SH,20260527,4.83,0.3932,2.669,1.53,18.3618,16.4291,0.701,58407023.3692,45765445.6061
600028.SH,20260526,4.87,0.3423,2.3233,1.52,18.5139,16.5651,0.7069,58890725.4261,46144455.5076
600028.SH,20260525,4.92,0.2121,1.4398,0.95,18.7039,16.7352,0.7141,59495352.9972,46618217.8845
600028.SH,20260522,4.96,0.2757,1.8715,1.21,18.856,16.8713,0.7199,59979055.0541,46997227.786
600028.SH,20260521,5.03,0.2666,1.8098,1.09,19.1221,17.1094,0.7301,60825533.6537,47660495.1136
600028.SH,20260520,5.1,0.1895,1.2862,0.74,19.3882,17.3475,0.7402,61672012.2532,48323762.4413
600028.SH,20260519,5.13,0.1793,1.2168,0.64,19.5023,17.4495,0.7446,62034788.7959,48608019.8674
600028.SH,20260518,5.14,0.2048,1.3905,0.67,19.5403,17.4835,0.746,62155714.3101,48702772.3428
600028.SH,20260515,5.13,0.2969,2.0155,0.93,19.5023,17.4495,0.7446,62034788.7959,48608019.8674
600028.SH,20260514,5.15,0.3526,2.3931,1.09,19.5783,17.5175,0.7475,62276639.8243,48797524.8181
600028.SH,20260513,5.17,0.2513,1.7057,0.73,19.6543,17.5856,0.7504,62518490.8528,48987029.7689
600028.SH,20260512,5.2,0.2845,1.9313,0.8,19.7684,17.6876,0.7548,62881267.3954,49271287.195
600028.SH,20260511,5.21,0.3504,2.3784,0.78,19.8064,17.7216,0.7562,63002192.9097,49366039.6704
600028.SH,20260508,5.22,0.3631,2.4648,0.81,19.8444,17.7557,0.7577,63123118.4239,49460792.1458
600028.SH,20260507,5.27,0.3753,2.5476,0.89,20.0345,17.9257,0.7649,63727745.995,49934554.5226
600028.SH,20260506,5.37,0.3568,2.4222,0.9,20.4147,18.2659,0.7794,64937001.1372,50882079.2764
600028.SH,20260430,5.39,0.3426,2.3258,0.85,20.4907,18.3339,0.7823,65178852.1657,51071584.2271
600028.SH,20260429,5.42,0.8164,5.5414,2.8,20.6047,18.4359,0.7867,65541628.7083,51355841.6533
600028.SH,20260428,5.35,0.3616,2.4545,1.39,20.3386,20.3386,0.7792,64695150.1088,50692574.3256
600028.SH,20260427,5.34,0.2221,1.5076,0.84,20.3006,20.3006,0.7777,64574224.5945,50597821.8503
600028.SH,20260424,5.39,0.2481,1.6843,0.95,20.4907,20.4907,0.785,65178852.1657,51071584.2271
600028.SH,20260423,5.45,0.372,2.5249,1.7,20.7188,20.7188,0.7937,65904405.251,51640099.0794
600028.SH,20260422,5.44,0.255,1.7312,1.23,20.6808,20.6808,0.7923,65783479.7368,51545346.604
600028.SH,20260421,5.5,0.2031,1.3784,1.04,20.9089,20.9089,0.801,66509032.8221,52113861.4563
600028.SH,20260420,5.53,0.2482,1.685,1.36,21.0229,21.0229,0.8054,66871809.3648,52398118.8824
600028.SH,20260417,5.56,0.2274,1.5435,1.39,21.137,21.137,0.8097,67234585.9074,52682376.3085
600028.SH,20260416,5.66,0.1579,1.0719,0.94,21.5171,21.5171,0.8243,68443841.0497,53629901.0623
600028.SH,20260415,5.69,0.1982,1.3455,1.13,21.6312,21.6312,0.8287,68806617.5923,53914158.4884
600028.SH,20260414,5.78,0.1425,0.9674,0.79,21.9733,21.9733,0.8418,69894947.2203,54766930.7668
600028.SH,20260413,5.83,0.1837,1.2473,1.04,22.1634,22.1634,0.8491,70499574.7914,55240693.1436
600028.SH,20260410,5.81,0.1369,0.9293,0.71,22.0874,22.0874,0.8461,70257723.763,55051188.1929
600028.SH,20260409,5.84,0.1772,1.203,0.92,22.2014,22.2014,0.8505,70620500.3056,55335445.619
600028.SH,20260408,5.89,0.2389,1.6138,1.31,22.3915,22.3915,0.8578,71225127.8768,55809207.9959
600028.SH,20260407,5.91,0.1671,1.1286,0.87,22.4675,22.4675,0.8607,71466978.9052,55998712.9466
600028.SH,20260403,5.86,0.1672,1.1296,0.84,22.2775,22.2775,0.8534,70862351.3341,55524950.5698
600028.SH,20260402,5.95,0.2165,1.4624,1.07,22.6196,22.6196,0.8665,71950680.9621,56377722.8481
600028.SH,20260401,5.89,0.1781,1.203,0.81,22.3915,22.3915,0.8578,71225127.8768,55809207.9959
600028.SH,20260331,5.88,0.1832,1.2375,0.77,22.3535,22.3535,0.8563,71104202.3625,55714455.5205
600028.SH,20260330,5.97,0.2188,1.478,0.82,22.6956,22.6956,0.8695,72192531.9905,56567227.7989
600028.SH,20260327,5.9,0.2035,1.3746,0.71,22.4295,22.4295,0.8593,71346053.391,55903960.4713
600028.SH,20260326,5.88,0.2322,1.5686,0.71,22.3535,22.3535,0.8563,71104202.3625,55714455.5205
600028.SH,20260325,5.92,0.2674,1.8065,0.79,22.5056,22.5056,0.8622,71587904.4194,56093465.422
600028.SH,20260324,5.94,0.2712,1.8321,0.77,22.5816,22.5816,0.8651,71829755.4479,56282970.3728
600028.SH,20260323,6.04,0.356,2.405,1.04,22.9617,22.9617,0.8796,73039010.5901,57230495.1265
600028.SH,20260320,6.08,0.3058,2.0656,0.8,14.6131,20.3946,0.8853,73522712.647,57609505.028
600028.SH,20260319,6.28,0.4343,2.9337,1.09,15.0938,21.0655,0.9144,75941222.9314,59504554.5355
600028.SH,20260318,6.12,0.3312,2.2371,0.77,14.7092,20.5288,0.8911,74006414.7039,57988514.9295
600028.SH,20260317,6.25,0.3338,2.2543,0.67,15.0217,20.9649,0.9101,75578446.3888,59220297.1094
600028.SH,20260316,6.33,0.3023,2.0417,0.45,15.2139,21.2332,0.9217,76545850.5025,59978316.9124
600028.SH,20260313,6.33,0.5023,3.3928,0.73,15.2139,21.2332,0.9217,76545850.5025,59978316.9124
600028.SH,20260312,6.46,0.5182,3.4998,0.7,15.5264,21.6693,0.9407,78117882.1874,61210099.0923
600028.SH,20260311,6.51,0.4856,3.2801,0.54,15.6466,21.837,0.9479,78722509.7585,61683861.4691
600028.SH,20260310,6.56,0.6781,4.5803,0.62,15.7667,22.0048,0.9552,79327137.3296,62157623.846
600028.SH,20260309,7.0,1.1376,7.6838,1.04,16.8243,23.4807,1.0193,84647859.9554,66326732.7625
600028.SH,20260306,6.88,0.607,4.1001,0.61,16.5358,23.0782,1.0018,83196753.7847,65189703.058
600028.SH,20260305,7.03,0.8071,5.4512,0.94,16.8964,23.5813,1.0236,85010636.4981,66610990.1886
600028.SH,20260304,7.4,1.3021,8.7951,2.01,17.7856,24.8224,1.0775,89484880.5243,70116831.7775
600028.SH,20260303,7.82,1.5856,10.7099,4.16,18.7951,26.2313,1.1387,94563752.1216,74096435.7433
600028.SH,20260302,7.11,1.1489,7.7597,5.74,17.0886,23.8497,1.0353,85978040.6118,67369009.9916
600028.SH,20260227,6.46,0.1115,0.7532,0.51,15.5264,21.6693,0.9407,78117882.1874,61210099.0923
600028.SH,20260226,6.49,0.143,0.9657,0.64,15.5985,21.7699,0.945,78480658.7301,61494356.5184
600028.SH,20260225,6.52,0.2514,1.6977,1.21,15.6706,21.8706,0.9494,78843435.2727,61778613.9445
600028.SH,20260224,6.58,0.2507,1.6933,1.3,15.8148,22.0718,0.9581,79568988.3581,62347128.7968
600028.SH,20260213,6.37,0.2447,1.653,1.29,15.3101,21.3674,0.9275,77029552.5594,60357326.8139
600028.SH,20260212,6.6,0.1964,1.3267,1.0,15.8629,22.1389,0.961,79810839.3865,62536633.7475
600028.SH,20260211,6.54,0.1755,1.1855,0.82,15.7187,21.9377,0.9523,79085286.3012,61968118.8953
600028.SH,20260210,6.46,0.1732,1.1695,0.78,15.5264,21.6693,0.9407,78117882.1874,61210099.0923
600028.SH,20260209,6.5,0.1714,1.1579,0.69,15.6225,21.8035,0.9465,78601584.2443,61589108.9938
600028.SH,20260206,6.5,0.2333,1.5759,0.88,15.6225,21.8035,0.9465,78601584.2443,61589108.9938
600028.SH,20260205,6.4,0.229,1.5466,0.73,15.3822,21.4681,0.9319,77392329.1021,60641584.24
600028.SH,20260204,6.5,0.2582,1.7442,0.71,15.6225,21.8035,0.9465,78601584.2443,61589108.9938
600028.SH,20260203,6.3,0.2113,1.4272,0.56,15.1418,21.1326,0.9174,76183073.9599,59694059.4863
600028.SH,20260202,6.38,0.3033,2.0487,0.75,15.3341,21.401,0.929,77150478.0736,60452079.2893
600028.SH,20260130,6.51,0.3244,2.1913,0.82,15.6466,21.837,0.9479,78722509.7585,61683861.4691
600028.SH,20260129,6.44,0.466,3.1475,1.17,15.4783,21.6022,0.9377,77876031.159,61020594.1415
600028.SH,20260128,6.4,0.5113,3.4534,1.51,15.3822,21.4681,0.9319,77392329.1021,60641584.24
600028.SH,20260127,6.37,0.2775,1.8744,0.84,15.3101,21.3674,0.9275,77029552.5594,60357326.8139
600028.SH,20260126,6.38,0.4561,3.0809,1.62,15.3341,21.401,0.929,77150478.0736,60452079.2893
600028.SH,20260123,6.15,0.2727,1.842,1.0,14.7813,20.6295,0.8955,74369191.2465,58272772.3556
600028.SH,20260122,6.21,0.4739,3.201,2.18,14.9255,20.8307,0.9042,75094744.3319,58841287.2079
600028.SH,20260121,5.96,0.216,1.4591,0.95,14.3246,19.9921,0.8678,72071606.4763,56472475.3235
600028.SH,20260120,6.01,0.2406,1.625,1.04,14.4448,20.1598,0.8751,72676234.0474,56946237.7004
600028.SH,20260119,5.93,0.205,1.3847,0.73,14.2525,19.8915,0.8635,71708829.9336,56188217.8974
600028.SH,20260116,5.84,0.2284,1.5427,0.6,14.0362,19.5896,0.8504,70620500.3056,55335445.619
600028.SH,20260115,5.95,0.1972,1.3317,0.54,14.3006,19.9586,0.8664,71950680.9621,56377722.8481
